0.5, 0.011655, 0.00218341, 0
0.6, 0.0427184, 0, 0
0.7, 0.0429752, 0.00369686, 0
0.8, 0.0679612, 0.00158983, 0
0.9, 0.16775, 0.0597015, 0
1, 0.155131, 0.0552291, 0.0206422
1.1, 0.190639, 0.155153, 0.118077
1.2, 0.260654, 0.189216, 0.0990991
1.3, 0.305685, 0.215631, 0.168819
1.4, 0.3223, 0.263296, 0.28021
1.5, 0.340278, 0.362319, 0.237131
1.6, 0.381095, 0.313386, 0.321857
1.7, 0.426056, 0.439499, 0.340333
1.8, 0.434929, 0.444966, 0.422431
1.9, 0.515319, 0.483496, 0.459339
2, 0.551457, 0.483949, 0.486293
2.2, 0.564525, 0.515442, 0.531789
2.4, 0.599027, 0.583754, 0.545216
2.6, 0.60613, 0.609317, 0.593304
2.8, 0.631834, 0.632035, 0.598371
3, 0.653815, 0.659839, 0.647781
3.2, 0.679395, 0.687339, 0.670509
3.4, 0.694084, 0.695092, 0.705862
3.6, 0.718057, 0.732596, 0.710169
3.8, 0.729051, 0.735108, 0.714017
4, 0.753094, 0.7463, 0.737444
4.2, 0.764156, 0.776921, 0.751569
4.4, 0.765463, 0.770772, 0.765139
4.6, 0.775715, 0.768233, 0.76697
4.8, 0.805083, 0.804795, 0.787398
5, 0.802193, 0.799184, 0.788475
5.4, 0.806048, 0.823413, 0.805051
5.8, 0.823492, 0.826238, 0.818182
6.2, 0.846125, 0.830518, 0.820089
6.6, 0.853726, 0.844981, 0.839211
7, 0.860944, 0.846434, 0.849332
7.4, 0.863806, 0.861075, 0.846154
7.8, 0.870373, 0.872278, 0.863419
8.2, 0.869099, 0.881761, 0.874689
8.6, 0.887692, 0.884476, 0.877634
9, 0.888336, 0.889403, 0.887613
9.4, 0.893008, 0.890247, 0.891016
9.8, 0.894852, 0.892804, 0.902492
